iter	RMSE
0	271.6559844
1	256.6890078
2	242.7537688
3	229.6092853
4	217.1531713
5	204.9851312
6	193.8278293
7	183.4897997
8	173.3988096
9	163.9889569
10	155.3500105
11	147.1981152
12	139.3345581
13	132.1325113
14	125.1223724
15	118.5954984
16	112.2743811
17	106.5932754
18	101.4799304
19	96.36485221
20	91.65825729
21	87.33047603
22	83.15793272
23	79.27175673
24	75.484886
25	71.97413232
26	68.57543867
27	65.45417095
28	62.7679585
29	60.1547528
30	57.57352146
31	55.14028686
32	53.04016697
33	50.92847647
34	49.03765214
35	47.23619264
36	45.58926905
37	44.02242623
38	42.55002458
39	41.20594786
40	40.01055232
41	38.81101673
42	37.73433065
43	36.70344186
44	35.73491035
45	34.88264963
46	34.07233217
47	33.29127673
48	32.615589
49	31.90197036
50	31.22890914
51	30.68894265
52	30.16824548
53	29.66897762
54	29.25167022
55	28.84867086
56	28.46452989
57	28.09378117
58	27.7471338
59	27.41849257
60	27.08877003
61	26.81149955
62	26.55983484
63	26.28353426
64	26.00337845
65	25.80161755
66	25.55990458
67	25.3596033
68	25.1723619
69	24.96930197
70	24.76148865
71	24.59075989
72	24.44830897
73	24.25511612
74	24.14321785
75	24.02670283
76	23.89149906
77	23.72883127
78	23.61647078
79	23.49832825
80	23.35133399
81	23.23627981
82	23.12378622
83	23.00549763
84	22.91019311
85	22.82759808
86	22.71943067
87	22.61984053
88	22.52873204
89	22.42875012
90	22.3377571
91	22.25041914
92	22.14891337
93	22.07387339
94	21.9763642
95	21.90781175
96	21.83336917
97	21.73037919
98	21.63506822
99	21.54503757
100	21.47378031
101	21.40100183
102	21.30645625
103	21.24666908
104	21.15071821
105	21.06725311
106	21.01259736
107	20.94547228
108	20.86591037
109	20.80603389
110	20.73618841
111	20.67228981
112	20.60416864
113	20.54071278
114	20.49315148
115	20.45564644
116	20.40275398
117	20.3435641
118	20.27196044
119	20.21071866
120	20.15602415
121	20.09661643
122	20.03815574
123	19.97013084
124	19.91472484
125	19.85962699
126	19.78041869
127	19.71739771
128	19.67127817
129	19.61899319
130	19.57550783
131	19.52090037
132	19.47063487
133	19.42951619
134	19.39299521
135	19.35247688
136	19.31836315
137	19.28638818
138	19.23063512
139	19.19847043
140	19.15481163
141	19.12562104
142	19.10005844
143	19.05339033
144	19.01607733
145	18.96501969
146	18.91454494
147	18.88030896
148	18.8388518
149	18.78000639
150	18.74483424
151	18.71194009
152	18.67960826
153	18.64880823
154	18.60369585
155	18.55898321
156	18.5332736
157	18.49081464
158	18.45406877
159	18.40539016
160	18.36917851
161	18.32225395
162	18.28409062
163	18.24748867
164	18.21617004
165	18.1665049
166	18.12559443
167	18.09624433
168	18.06357083
169	18.02423667
170	17.98798664
171	17.95646138
172	17.92997285
173	17.88823157
174	17.85540811
175	17.83122091
176	17.79327032
177	17.76240687
178	17.73578016
179	17.70611891
180	17.67686255
181	17.64840193
182	17.62615481
183	17.60869864
184	17.57610295
185	17.55381354
186	17.5299827
187	17.50821298
188	17.47231843
189	17.44064798
190	17.41024774
191	17.3866677
192	17.36075815
193	17.31053318
194	17.29024378
195	17.26133282
196	17.23453675
197	17.20876139
198	17.18745624
199	17.16235337
200	17.13588389
201	17.11076654
202	17.08395355
203	17.05661679
204	17.03958866
205	17.02063847
206	17.00011077
207	16.98002506
208	16.96232539
209	16.93789794
210	16.91742378
211	16.88570132
212	16.85898728
213	16.83765471
214	16.81179147
215	16.78687219
216	16.76497938
217	16.73874905
218	16.70896076
219	16.69871178
220	16.66989308
221	16.64350218
222	16.62488392
223	16.60139507
224	16.57362322
225	16.55380239
226	16.53562362
227	16.51486404
228	16.49494893
229	16.47059457
230	16.45501029
231	16.43862715
232	16.41982126
233	16.40265312
234	16.38012862
235	16.36408266
236	16.34494941
237	16.32467208
238	16.29173394
239	16.27640693
240	16.25242051
241	16.23297766
242	16.22016309
243	16.20144952
244	16.17988782
245	16.15941991
246	16.14482918
247	16.12395748
248	16.10740213
249	16.09245658
250	16.06737515
251	16.05453529
252	16.03705978
253	16.02304418
254	15.99414621
255	15.97668907
256	15.96095589
257	15.94956595
258	15.93162107
259	15.90379019
260	15.88400149
261	15.8714364
262	15.85320229
263	15.83892956
264	15.81354907
265	15.78830977
266	15.77320341
267	15.75917174
268	15.7389858
269	15.70294931
270	15.68681123
271	15.66879357
272	15.64430958
273	15.62411452
274	15.60913149
275	15.59618593
276	15.58249433
277	15.56269065
278	15.54736343
279	15.53141003
280	15.5174298
281	15.50683192
282	15.49940531
283	15.48945987
284	15.45748594
285	15.44061626
286	15.41867817
287	15.40452567
288	15.39202016
289	15.37888969
290	15.36611731
291	15.35294784
292	15.33651649
293	15.32444542
294	15.30562931
295	15.28872101
296	15.2726045
297	15.25718041
298	15.23700131
299	15.22262465
300	15.20839739
301	15.18689592
302	15.16811669
303	15.15881795
304	15.14678809
305	15.12762034
306	15.11808487
307	15.10926183
308	15.09985404
309	15.08553276
310	15.0628598
311	15.0422159
312	15.03135278
313	15.02142602
314	15.00782383
315	14.99909107
316	14.99346523
317	14.97990219
318	14.96460758
319	14.95735642
320	14.94998273
321	14.9387829
322	14.92177111
323	14.90774767
324	14.89659218
325	14.8824149
326	14.87261229
327	14.86362718
328	14.85294787
329	14.83996738
330	14.8306413
331	14.82198803
332	14.80552779
333	14.79082537
334	14.77941676
335	14.76321368
336	14.7520203
337	14.74351544
338	14.72952331
339	14.71859578
340	14.70790239
341	14.69171044
342	14.68186141
343	14.6697327
344	14.65681706
345	14.64837684
346	14.63333129
347	14.6189239
348	14.60812287
349	14.59301152
350	14.58479988
351	14.57239778
352	14.5647742
353	14.55048112
354	14.54067825
355	14.53685281
356	14.52810968
357	14.51395123
358	14.50416465
359	14.49018322
360	14.47194496
361	14.46155264
362	14.45160122
363	14.44048566
364	14.42777838
365	14.41415311
366	14.40579332
367	14.39757125
368	14.37690766
369	14.36487689
370	14.35595025
371	14.34734606
372	14.33694035
373	14.32611025
374	14.31829526
375	14.31028037
376	14.29986216
377	14.28906579
378	14.27935183
379	14.26335919
380	14.25662718
381	14.24333249
382	14.2212263
383	14.21197563
384	14.20457456
385	14.19353112
386	14.18723136
387	14.17256429
388	14.16373273
389	14.15347412
390	14.14283129
391	14.1363073
392	14.12928065
393	14.12268747
394	14.11311312
395	14.0958116
396	14.0875074
397	14.0730495
398	14.06770963
399	14.05662591
400	14.04994654
401	14.04087836
402	14.02810949
403	14.0171844
404	14.00588668
405	13.99436077
406	13.97003912
407	13.95899611
408	13.945337
409	13.9351077
410	13.92768357
411	13.92209317
412	13.91395628
413	13.90216212
414	13.89572573
415	13.8867989
416	13.87939534
417	13.87048402
418	13.84640876
419	13.83518418
420	13.82581418
421	13.81996111
422	13.80992348
423	13.8037109
424	13.78552839
425	13.78023378
426	13.76940044
427	13.7651665
428	13.75205984
429	13.74276309
430	13.72750119
431	13.71605147
432	13.70969878
433	13.69709448
434	13.68874674
435	13.67954854
436	13.67049147
437	13.66603629
438	13.65959285
439	13.649411
440	13.64110989
441	13.63372946
442	13.6248737
443	13.60851008
444	13.60171121
445	13.57880747
446	13.56997491
447	13.56418993
448	13.55239597
449	13.54724842
450	13.53611572
451	13.52508553
452	13.5209748
453	13.50923656
454	13.49935254
455	13.49025929
456	13.4769054
457	13.4707556
458	13.46361025
459	13.45756172
460	13.44774038
461	13.4265923
462	13.41205753
463	13.40490908
464	13.3919836
465	13.38574674
466	13.37986698
467	13.37243905
468	13.35844232
469	13.35351354
470	13.33778915
471	13.32633264
472	13.31610746
473	13.30903908
474	13.30356008
475	13.29578174
476	13.28949276
477	13.2746003
478	13.2624627
479	13.25441987
480	13.24882795
481	13.23208774
482	13.21525545
483	13.20794916
484	13.18586237
485	13.17812195
486	13.1699948
487	13.16226663
488	13.1526554
489	13.14121127
490	13.13024406
491	13.12362417
492	13.11668449
493	13.10099066
494	13.09103033
495	13.07975597
496	13.06892905
497	13.06229
498	13.05515241
499	13.0484302
500	13.04092061
501	13.03704344
502	13.03172652
503	13.02221611
504	13.01051882
505	13.00072981
506	12.99391898
507	12.98474406
508	12.96987428
509	12.96528279
510	12.95926058
511	12.95315194
512	12.94560889
513	12.93771231
514	12.93043797
515	12.92336933
516	12.91801179
517	12.91047646
518	12.90486479
519	12.89523908
520	12.88734519
521	12.87795933
522	12.85875117
523	12.85146501
524	12.84591846
525	12.83867463
526	12.83646516
527	12.82791759
528	12.81833795
529	12.81075276
530	12.80475722
531	12.78870204
532	12.78222868
533	12.77537129
534	12.76306098
535	12.75836556
536	12.75225819
537	12.74419121
538	12.73453011
539	12.71936357
540	12.71179465
541	12.7042591
542	12.69712856
543	12.6901401
544	12.68208465
545	12.67797008
546	12.67385729
547	12.65894158
548	12.65145898
549	12.64463757
550	12.63843947
551	12.63154223
552	12.6227717
553	12.61607116
554	12.61096057
555	12.60399044
556	12.59768637
557	12.58599128
558	12.57853204
559	12.57473506
560	12.5666162
561	12.5578081
562	12.55513231
563	12.54873528
564	12.54272856
565	12.53547502
566	12.52654747
567	12.52279755
568	12.51308868
569	12.50542996
570	12.49945868
571	12.49427567
572	12.48718326
573	12.4830875
574	12.47676975
575	12.46876548
576	12.46459362
577	12.45477668
578	12.44041657
579	12.436736
580	12.43089683
581	12.41947368
582	12.41163194
583	12.40665511
584	12.39775784
585	12.38385909
586	12.37380452
587	12.36598309
588	12.36113603
589	12.35599982
590	12.34848324
591	12.34087445
592	12.33528577
593	12.32660353
594	12.31377133
595	12.30828726
596	12.30059355
597	12.29524661
598	12.28646932
599	12.27942894
600	12.26712446
601	12.25998725
602	12.25447163
603	12.24326964
604	12.23163684
605	12.22435328
606	12.21633798
607	12.21052358
608	12.20767545
609	12.20233615
610	12.19559297
611	12.19255075
612	12.18292036
613	12.1767723
614	12.17009092
615	12.16473565
616	12.15632902
617	12.14346679
618	12.13964357
619	12.13371061
620	12.12835901
621	12.1211328
622	12.10428602
623	12.09656803
624	12.08997909
625	12.08131026
626	12.06974967
627	12.0620698
628	12.05488736
629	12.04553616
630	12.0366293
631	12.028244
632	12.02257362
633	12.01613714
634	12.01148251
635	12.00007017
636	11.99341933
637	11.9884034
638	11.98297162
639	11.97936974
640	11.97329569
641	11.96815979
642	11.96253716
643	11.95246393
644	11.94698728
645	11.93487584
646	11.92375356
647	11.91692641
648	11.91033478
649	11.90276002
650	11.892762
651	11.88743088
652	11.87984148
653	11.87593997
654	11.87288435
655	11.86421444
656	11.85910442
657	11.85081233
658	11.84821989
659	11.84090995
660	11.83337196
661	11.82342192
662	11.81797767
663	11.81397102
664	11.81089004
665	11.80180766
666	11.79559258
667	11.78850909
668	11.77991903
669	11.76777839
670	11.75980111
671	11.75525194
672	11.74920936
673	11.74367935
674	11.73996756
675	11.72689725
676	11.7181001
677	11.71181253
678	11.70849049
679	11.69985109
680	11.69559745
681	11.69028514
682	11.68539678
683	11.67561665
684	11.67152481
685	11.66520317
686	11.66131082
687	11.65834864
688	11.6526871
689	11.6490752
690	11.64045043
691	11.63599698
692	11.62759868
693	11.62090455
694	11.61401864
695	11.60814661
696	11.60213105
697	11.59873636
698	11.58947577
699	11.58356626
700	11.57785484
701	11.56539199
702	11.55856003
703	11.55179215
704	11.54473152
705	11.53815669
706	11.53446804
707	11.53180219
708	11.52680008
709	11.52244432
710	11.51815536
711	11.51264937
712	11.50367346
713	11.49858815
714	11.49334183
715	11.48657813
716	11.48204189
717	11.47700355
718	11.47369312
719	11.47005241
720	11.46366599
721	11.4586137
722	11.44928036
723	11.44603373
724	11.44002769
725	11.43220821
726	11.42290453
727	11.41789336
728	11.41345027
729	11.40783092
730	11.40478708
731	11.39934119
732	11.39234096
733	11.38566792
734	11.38096268
735	11.37588412
736	11.37099024
737	11.36402816
738	11.35792069
739	11.34799344
740	11.34122881
741	11.33738416
742	11.33220789
743	11.32723066
744	11.31995575
745	11.31374713
746	11.30978454
747	11.30761616
748	11.30239591
749	11.29866586
750	11.2927202
751	11.28766663
752	11.27815053
753	11.27105173
754	11.26590063
755	11.26059502
756	11.25652408
757	11.25375341
758	11.2457537
759	11.24071649
760	11.23538608
761	11.23240243
762	11.22621747
763	11.2193496
764	11.20994955
765	11.19995639
766	11.19849959
767	11.19483824
768	11.18787884
769	11.17996279
770	11.17393178
771	11.16841094
772	11.16121615
773	11.15537274
774	11.15185235
775	11.14487261
776	11.1376264
777	11.13419843
778	11.1282708
779	11.12411267
780	11.11451457
781	11.11096468
782	11.10420777
783	11.09970641
784	11.09269672
785	11.08901626
786	11.08621134
787	11.08140395
788	11.07605768
789	11.07241311
790	11.06806706
791	11.0634833
792	11.05765125
793	11.05387526
794	11.04722302
795	11.04398472
796	11.03832868
797	11.0307373
798	11.02533469
799	11.02009599
800	11.01483613
801	11.00939957
802	11.00313091
803	10.99881794
804	10.99075774
805	10.98570057
806	10.97780892
807	10.97102683
808	10.95897755
809	10.95329113
810	10.94183665
811	10.94073196
812	10.93530984
813	10.93233872
814	10.92828369
815	10.92096609
816	10.91746823
817	10.91341078
818	10.90724951
819	10.90243858
820	10.89567288
821	10.88919841
822	10.88499959
823	10.88248394
824	10.87943403
825	10.87319563
826	10.86965271
827	10.86321858
828	10.85950944
829	10.85531054
830	10.85005561
831	10.84359235
832	10.83542015
833	10.83054002
834	10.82529388
835	10.82272391
836	10.8180232
837	10.81457249
838	10.80932906
839	10.80576171
840	10.80195085
841	10.79471129
842	10.78997895
843	10.78386307
844	10.78229853
845	10.7770361
846	10.77283261
847	10.76798784
848	10.76053806
849	10.75472286
850	10.74896278
851	10.74473495
852	10.73889809
853	10.73548146
854	10.73152189
855	10.72140437
856	10.71621306
857	10.71071433
858	10.70549521
859	10.7031543
860	10.69955906
861	10.69423605
862	10.69004765
863	10.6855503
864	10.68052695
865	10.67319822
866	10.66436055
867	10.65961818
868	10.65302037
869	10.6448016
870	10.63965133
871	10.63320701
872	10.62844813
873	10.62403877
874	10.61961493
875	10.61446613
876	10.61145034
877	10.60716158
878	10.60391881
879	10.59409209
880	10.58952089
881	10.58625708
882	10.58089238
883	10.57835013
884	10.57609172
885	10.57133801
886	10.56789386
887	10.56232782
888	10.55947215
889	10.5547357
890	10.55094175
891	10.54580726
892	10.54082544
893	10.53628385
894	10.53388752
895	10.52727636
896	10.52303753
897	10.51867573
898	10.50247113
899	10.49733278
900	10.49477037
901	10.49106913
902	10.48507582
903	10.48063847
904	10.47666715
905	10.47119628
906	10.46572437
907	10.4626132
908	10.45991673
909	10.4526377
910	10.44639866
911	10.44027976
912	10.43560476
913	10.42973581
914	10.42497674
915	10.42166339
916	10.41656407
917	10.41449607
918	10.4100022
919	10.40498396
920	10.40135471
921	10.39797651
922	10.3913355
923	10.38446736
924	10.37927294
925	10.37589254
926	10.36917492
927	10.36531148
928	10.36081102
929	10.35434586
930	10.34868046
931	10.34502929
932	10.33995176
933	10.33525973
934	10.33134033
