iter	Passed	Remaining
0	5	5343
1	10	5103
2	15	5040
3	19	4913
4	24	4855
5	29	4872
6	33	4802
7	38	4782
8	43	4755
9	48	4800
10	53	4802
11	57	4768
12	62	4774
13	67	4755
14	72	4745
15	77	4775
16	82	4773
17	87	4776
18	92	4791
19	97	4778
20	102	4771
21	107	4779
22	112	4766
23	117	4768
24	122	4766
25	127	4770
26	132	4761
27	137	4766
28	142	4769
29	147	4757
30	152	4770
31	157	4771
32	162	4762
33	167	4768
34	172	4761
35	177	4748
36	182	4755
37	187	4751
38	192	4746
39	197	4739
40	202	4732
41	207	4730
42	211	4716
43	216	4706
44	221	4699
45	226	4688
46	230	4682
47	236	4680
48	240	4675
49	245	4671
50	250	4664
51	256	4669
52	260	4657
53	265	4652
54	269	4624
55	273	4616
56	278	4606
57	283	4601
58	288	4599
59	292	4587
60	297	4585
61	302	4582
62	307	4574
63	312	4564
64	316	4559
65	321	4554
66	326	4547
67	331	4542
68	336	4538
69	341	4540
70	346	4536
71	351	4528
72	355	4519
73	361	4524
74	366	4519
75	371	4512
76	376	4509
77	381	4505
78	385	4498
79	390	4491
80	395	4488
81	400	4482
82	405	4475
83	410	4475
84	414	4464
85	419	4456
86	424	4453
87	429	4448
88	434	4443
89	439	4440
90	444	4435
91	448	4430
92	453	4422
93	457	4412
94	462	4406
95	467	4403
96	472	4398
97	477	4391
98	481	4385
99	486	4380
100	491	4375
101	496	4367
102	501	4365
103	506	4361
104	511	4355
105	516	4353
106	521	4348
107	525	4340
108	530	4338
109	535	4333
110	540	4331
111	546	4330
112	550	4324
113	555	4316
114	559	4308
115	564	4302
116	569	4295
117	573	4290
118	578	4284
119	582	4274
120	587	4267
121	591	4259
122	596	4254
123	600	4243
124	605	4241
125	611	4242
126	616	4237
127	622	4237
128	627	4233
129	632	4231
130	638	4235
131	643	4232
132	648	4229
133	654	4230
134	660	4233
135	665	4229
136	670	4223
137	675	4216
138	680	4212
139	684	4207
140	689	4201
141	694	4197
142	699	4193
143	704	4187
144	709	4181
145	713	4175
146	718	4170
147	723	4166
148	729	4167
149	734	4164
150	739	4160
151	744	4154
152	749	4150
153	755	4148
154	760	4144
155	765	4140
156	769	4132
157	774	4129
158	779	4121
159	784	4116
160	788	4110
161	793	4103
162	797	4097
163	802	4091
164	807	4088
165	812	4082
166	817	4075
167	821	4069
168	826	4062
169	830	4057
170	835	4050
171	840	4045
172	844	4038
173	849	4032
174	853	4025
175	858	4018
176	862	4011
177	867	4004
178	871	3996
179	875	3988
180	880	3984
181	884	3975
182	888	3968
183	893	3960
184	897	3953
185	901	3945
186	905	3936
187	909	3929
188	914	3922
189	918	3916
190	923	3909
191	927	3903
192	931	3896
193	936	3889
194	940	3884
195	945	3879
196	950	3872
197	954	3867
198	959	3862
199	964	3856
200	968	3851
201	973	3845
202	978	3840
203	983	3837
204	987	3830
205	992	3825
206	996	3818
207	1002	3816
208	1007	3811
209	1011	3805
210	1016	3800
211	1020	3794
212	1025	3789
213	1030	3786
214	1035	3780
215	1040	3775
216	1045	3770
217	1049	3766
218	1055	3762
219	1059	3757
220	1064	3753
221	1069	3747
222	1074	3743
223	1079	3738
224	1083	3732
225	1088	3728
226	1093	3723
227	1098	3718
228	1102	3712
229	1108	3709
230	1112	3703
231	1117	3697
232	1122	3693
233	1126	3688
234	1131	3682
235	1135	3677
236	1140	3671
237	1144	3664
238	1148	3657
239	1153	3652
240	1157	3646
241	1162	3641
242	1166	3635
243	1171	3629
244	1175	3623
245	1180	3617
246	1184	3611
247	1189	3606
248	1193	3600
249	1198	3595
250	1203	3590
251	1207	3584
252	1212	3580
253	1217	3574
254	1221	3568
255	1225	3562
256	1230	3556
257	1234	3550
258	1238	3543
259	1243	3538
260	1247	3531
261	1251	3526
262	1256	3519
263	1260	3515
264	1265	3509
265	1269	3504
266	1274	3499
267	1279	3493
268	1283	3487
269	1287	3482
270	1292	3476
271	1296	3470
272	1300	3464
273	1305	3458
274	1309	3453
275	1314	3448
276	1318	3442
277	1323	3437
278	1327	3431
279	1332	3425
280	1336	3420
281	1340	3414
282	1344	3407
283	1349	3401
284	1353	3395
285	1357	3388
286	1361	3383
287	1365	3377
288	1370	3371
289	1374	3365
290	1379	3360
291	1383	3354
292	1388	3349
293	1391	3342
294	1396	3337
295	1400	3331
296	1405	3325
297	1409	3319
298	1414	3315
299	1418	3310
300	1423	3304
301	1428	3301
302	1432	3295
303	1437	3290
304	1441	3285
305	1446	3280
306	1450	3274
307	1455	3269
308	1460	3265
309	1464	3259
310	1469	3256
311	1474	3251
312	1479	3247
313	1484	3243
314	1489	3238
315	1494	3234
316	1498	3229
317	1505	3229
318	1512	3229
319	1520	3230
320	1527	3230
321	1533	3229
322	1539	3227
323	1545	3225
324	1552	3225
325	1559	3224
326	1567	3225
327	1573	3224
328	1580	3222
329	1585	3219
330	1592	3219
331	1599	3217
